id,%chg_lq_estabishments,%chg_total_emp,%chge_lq_total_qtrly_wages,%chge_lq_taxable_wages,%chge_avg_wkly_wage
16834,17.11,1.108,1.184,0.546,1.048
16835,16.98,1.144666667,1.178,0.502,1.014
16836,16.69,1.116,1.092,0.518,0.966
16837,16,1.179333333,1.172,0.496,0.986
16838,15.14,1.189333333,1.258,0.54,1.046
16839,14.99,1.176666667,1.176,0.508,0.984
16840,14.55,1.127333333,1.082,0.5,0.952
16841,14.56,1.183333333,1.166,0.452,0.984
16842,15.58,1.186666667,1.274,0.544,1.066
16843,15.31,1.178,1.218,0.492,1.01
16844,14.41,1.147333333,1.132,0.792,1.04
16845,14.82,1.151333333,1.134,0.56,1.02
16846,14.62,1.114666667,1.018,0.512,0.962
16847,14.85,1.158,1.148,0.546,1.048
16848,14.9,1.136,1.152,0.544,1.044
16849,15.04,1.156666667,1.072,0.524,0.978
16850,15.04,1.212666667,1.194,0.506,1.042
16851,14.92,1.219333333,1.254,0.748,1.08
16852,15.06,1.231333333,1.2,0.54,1.026
16853,15,1.206,1.136,0.544,0.998
16854,15.24,1.244666667,1.212,0.51,1.06
16855,15.05,1.235333333,1.294,0.67,1.102
16856,14.87,1.246666667,1.194,0.588,1.01
16857,14.47,1.220666667,1.166,0.538,1.01
16858,14.44,1.245333333,1.218,0.618,1.03
16859,14.22,1.248666667,1.306,0.688,1.104
16860,14.18,1.252,1.248,0.564,1.038
16861,20.21,2.699333333,2.896,1.036,1.068
16862,20.83,2.690666667,2.706,0.47,1.002
16863,20.71,2.688666667,2.648,0.434,1
16864,20.6,2.648,2.744,0.432,1.028
16865,20.09,2.689333333,2.618,0.45,0.998
16866,19.73,2.655333333,2.504,0.432,0.97
16867,19.79,2.629333333,2.716,0.418,1.038
16868,19.84,2.643333333,2.858,0.9,1.062
16869,19.67,2.634,2.68,0.44,1.018
16870,19.37,2.705333333,2.602,0.436,1.02
16871,20.8,2.604,2.612,0.43,1.05
16872,18.89,2.640666667,2.696,0.856,1.038
16873,18.7,2.62,2.454,0.436,0.996
16874,18.41,2.602666667,2.41,0.442,0.97
16875,18.11,2.605333333,2.608,0.434,1.004
16876,18.09,2.616,2.668,0.786,1.024
16877,17.99,2.591333333,2.518,0.618,1.006
16878,13.33,1.103333333,1.238,0.934,1.104
16879,14.28,1.103333333,1.154,0.824,1.028
16880,14.4,1.13,1.14,1.116,1.008
16881,14.93,1.116666667,1.156,0.868,1.03
16882,15.56,1.077333333,1.12,0.818,1.026
16883,15.58,1.119333333,1.154,0.87,1.05
16884,14.16,1.096666667,1.116,0.78,1.016
16885,13.81,1.049333333,1.174,0.824,1.116
16886,13.87,1.044666667,1.116,0.856,1.038
16887,14.1,1.086,1.134,1,1.02
16888,14.19,1.052,1.1,0.85,1.024
16889,14.01,1.052666667,1.178,0.778,1.102
16890,14.14,1.065333333,1.092,0.832,0.992
16891,14.06,1.107333333,1.112,1.04,1.002
16892,14.27,1.07,1.086,0.598,1.018
16893,14.29,1.07,1.164,0.756,1.104
16894,14.25,1.074666667,1.1,0.726,1.004
16895,20.98,0.948,0.784,0.508,0.836
16896,20.65,0.947333333,0.802,0.506,0.838
16897,18.82,0.914,0.768,0.526,0.844
16898,20,0.937333333,0.78,0.586,0.83
16899,20.6,0.905333333,0.794,0.546,0.858
16900,20.54,0.911333333,0.78,0.48,0.852
16901,19.35,0.943333333,0.786,0.466,0.848
16902,19.29,0.936666667,0.792,0.55,0.854
16903,19.21,0.950666667,0.792,0.544,0.818
16904,19.21,0.918666667,0.776,0.474,0.848
16905,18.36,0.932666667,0.734,0.432,0.79
16906,18.14,0.944,0.728,0.48,0.774
16907,19.09,0.927333333,0.774,0.436,0.814
16908,18.95,0.902666667,0.76,0.472,0.836
16909,19.17,0.947333333,0.762,0.496,0.816
16910,20.57,0.908666667,0.718,0.542,0.79
16911,20.43,0.908666667,0.776,0.508,0.842
16912,10.74,1.214666667,1.272,1.05,1.052
16913,10.4,1.189333333,1.308,0.814,1.02
16914,10.28,1.093333333,1.084,0.654,0.984
16915,10.97,1.239333333,1.322,0.676,1.056
16916,11.25,1.206666667,1.286,0.888,0.998
16917,11.25,1.136666667,1.084,0.738,0.964
16918,10.73,1.238666667,1.276,0.654,1.024
16919,10.39,1.225333333,1.298,1.07,1.102
16920,10.42,1.228,1.344,0.758,1.022
16921,10.44,1.147333333,1.078,0.664,0.984
16922,10.84,1.246,1.262,0.734,1.018
16923,11.09,1.208666667,1.248,1.158,1.086
16924,10.93,1.183333333,1.22,0.884,0.998
16925,10.79,1.036666667,1.012,0.73,0.978
16926,10.85,1.192666667,1.194,0.742,1.028
16927,11.96,1.195333333,1.244,1.14,1.082
16928,12.08,1.156666667,1.172,0.764,0.978
16929,12.58,1.11,1.076,0.428,0.972
16930,12.34,1.099333333,1.082,0.434,0.976
16931,12.32,1.058,1.04,0.426,0.952
16932,12.86,1.106,1.088,0.444,0.99
16933,13.38,1.124666667,1.106,0.458,0.978
16934,13.32,1.046,1.002,0.484,0.944
16935,13.2,1.104666667,1.044,0.48,0.952
16936,13.12,1.073333333,1.072,0.454,0.992
16937,12.98,1.059333333,1.064,0.486,0.986
16938,13.25,1.020666667,0.876,0.41,0.856
16939,12.95,1.063333333,1.018,0.41,0.972
16940,12.66,1.054,1.048,0.436,0.99
16941,12.81,1.068,1.008,0.424,0.936
16942,13.09,1.082,0.992,0.412,0.96
16943,12.91,1.065333333,1.046,0.41,0.994
16944,12.93,1.066,1.066,0.438,1.026
16945,13.01,1.072,1.07,0.418,0.984
16946,10.57,0.993333333,1.076,0.454,1.09
16947,11.05,0.987333333,1.06,0.46,1.072
16948,10.8,0.95,1,0.444,1.05
16949,10.85,0.978,1.056,0.44,1.098
16950,10.79,0.955333333,1.016,0.456,1.06
16951,10.9,0.972666667,0.996,0.448,1.016
16952,10.43,0.979333333,1.028,0.438,1.064
16953,10.63,0.964666667,1.094,0.462,1.144
16954,10.77,0.978666667,1.044,0.456,1.07
16955,10.75,0.953333333,1.014,0.45,1.056
16956,10.61,0.979333333,1.064,0.478,1.09
16957,10.87,1.002,1.128,0.44,1.128
16958,10.83,1.001333333,1.04,0.48,1.03
16959,10.5,0.968,0.998,0.444,1.022
16960,10.35,0.999333333,1.044,0.44,1.056
16961,10.7,0.992,1.072,0.46,1.094
16962,10.81,0.988,1.034,0.454,1.044
16963,10.26,0.990666667,1.076,0.484,1.074
16964,10.51,1.005333333,1.042,0.486,1.028
16965,10.37,1.004666667,1.038,0.45,1
16966,10.34,0.992666667,1.048,0.434,1.066
16967,10.91,0.990666667,1.016,0.474,1.016
16968,11.07,1.001333333,1.04,0.436,1.02
16969,10.62,1.001333333,1.078,0.434,1.056
16970,10.69,0.929333333,0.972,0.492,1.068
16971,10.72,0.934666667,0.986,0.48,1.044
16972,10.74,0.921333333,0.952,0.446,1.026
16973,11.09,0.938,0.99,0.422,1.056
16974,11.13,0.925333333,0.994,0.488,1.096
16975,11.04,0.952,0.988,0.472,1.03
16976,11.14,0.940666667,0.942,0.436,1.008
16977,11.19,0.946,1.008,0.46,1.072
16978,11.21,0.936666667,0.996,0.498,1.09
16979,11.25,0.963333333,0.97,0.472,1.008
16980,16.7,1.22,1.296,1.058,1.074
16981,17.23,1.230666667,1.402,0.764,1.062
16982,16.76,1.108,1.162,0.592,1.028
16983,16.92,1.232666667,1.292,0.498,1.06
16984,17.02,1.174,1.268,0.824,1.016
16985,17.82,1.104,1.066,0.478,0.968
16986,17.19,1.209333333,1.258,0.446,1.056
16987,16.56,1.176666667,1.27,0.994,1.074
16988,16.7,1.168,1.384,0.674,1.074
16989,17.18,1.138666667,1.044,0.462,0.996
16990,17.76,1.195333333,1.226,0.438,1.04
16991,17.15,1.197333333,1.288,0.942,1.084
16992,17.05,1.197333333,1.304,0.672,1.042
16993,16.92,1.206666667,1.194,0.582,1.004
16994,16.97,1.218666667,1.122,0.622,1.012
16995,16.91,1.211333333,1.368,0.89,1.118
16996,16.86,1.198666667,1.2,0.764,0.992
16997,10.33,0.928666667,0.958,1.122,1.03
16998,10.78,0.936,0.928,0.656,0.948
16999,10.67,0.940666667,0.874,0.612,0.928
17000,10.97,0.941333333,0.9,0.486,0.96
17001,11.24,0.952,0.918,0.614,0.93
17002,11.19,1.001333333,0.954,0.558,0.974
17003,11.03,1.003333333,1.008,0.54,1.006
17004,11.04,0.986666667,1.056,1.076,1.078
17005,11.08,1.001333333,1.07,0.684,1.01
17006,10.98,0.959333333,0.962,0.746,0.996
17007,11.37,1.006,0.992,0.65,0.984
17008,11.22,1.004666667,1.05,0.986,1.044
17009,11.17,1.016,1.04,0.75,0.98
17010,11.13,0.956666667,0.95,0.754,0.978
17011,11.17,0.996666667,1.028,0.706,1.042
17012,11.6,1.005333333,1.04,1.106,1.034
17013,11.71,1.011333333,1.054,0.728,0.996
17014,13.73,0.717333333,0.572,0.554,0.7
17015,13.91,0.727333333,0.618,0.72,0.74
17016,13.68,0.674,0.55,0.62,0.692
17017,14.22,0.723333333,0.598,0.498,0.742
17018,14.62,0.73,0.638,0.678,0.766
17019,14.57,0.682666667,0.554,0.618,0.68
17020,14.52,0.711333333,0.578,0.494,0.706
17021,14.21,0.694,0.598,0.566,0.766
17022,14.39,0.458,0.446,0.402,0.524
17023,14.44,0.660666667,0.56,0.508,0.716
17024,14.29,0.702,0.586,0.482,0.732
17025,14.46,0.691333333,0.58,0.554,0.742
17026,14.18,0.702666667,0.618,0.588,0.768
17027,14.2,0.665333333,0.562,0.5,0.738
17028,13.84,0.457333333,0.442,0.404,0.512
17029,13.59,0.728,0.62,0.588,0.782
17030,13.65,0.741333333,0.652,0.656,0.778
17031,7.57,1.941333333,2.284,0.504,1.038
17032,7.71,1.931333333,1.98,0.492,0.984
17033,7.55,1.910666667,2.084,0.45,0.982
17034,7.64,1.928666667,1.966,0.452,0.992
17035,7.37,1.96,2.016,0.46,0.99
17036,7.42,1.843333333,2.046,0.438,0.968
17037,7.32,1.864666667,1.994,0.44,0.976
17038,7.22,1.850666667,2.068,0.492,1.022
17039,7.02,1.848666667,1.866,0.456,0.988
17040,7.15,1.848666667,2.118,0.43,0.972
17041,7.25,1.877333333,2.014,0.43,0.966
17042,7.27,1.854666667,2.082,0.498,1.006
17043,7.26,1.872,1.966,0.448,0.982
17044,7.25,1.854666667,1.844,0.428,0.926
17045,7.25,1.886666667,1.898,0.448,0.956
17046,7.28,1.853333333,1.938,0.506,0.982
17047,7.25,1.844,1.99,0.448,1.004
17048,18.88,1.445333333,1.376,1.178,1.01
17049,19.04,1.465333333,1.388,0.898,0.998
17050,18.91,1.509333333,1.384,1.032,0.98
17051,19.05,1.46,1.396,0.614,1.012
17052,19.98,1.470666667,1.43,0.844,1.002
17053,20.31,1.513333333,1.396,0.716,0.988
17054,19.8,1.448666667,1.45,0.646,1.052
17055,20.06,1.462666667,1.482,1.176,1.052
17056,20.63,1.467333333,1.374,0.918,0.986
17057,20.68,1.472,1.4,0.886,0.992
17058,21,1.494,1.412,0.712,1.026
17059,21.31,1.488,1.506,1.202,1.068
17060,21.1,1.511333333,1.382,0.956,0.982
17061,20.74,1.522,1.39,0.684,0.996
17062,21.28,1.51,1.466,0.722,1.032
17063,22.19,1.499333333,1.492,1.146,1.058
17064,22.47,1.507333333,1.454,0.948,1.012
17065,14.32,0.876,0.836,0.434,0.938
17066,14.22,0.866666667,0.84,0.458,0.932
17067,13.85,0.847333333,0.794,0.428,0.916
17068,14.41,0.873333333,0.83,0.444,0.94
17069,14.74,0.851333333,0.844,0.43,0.958
17070,15.55,0.869333333,0.816,0.42,0.922
17071,14.9,0.88,0.836,0.452,0.954
17072,14.49,0.868666667,0.854,0.434,0.988
17073,14.92,0.889333333,0.862,0.42,0.944
17074,15.07,0.875333333,0.812,0.468,0.944
17075,15.95,0.891333333,0.862,0.414,0.974
17076,16.28,0.885333333,0.846,0.418,0.958
17077,16.08,0.892666667,0.87,0.446,0.954
17078,16.37,0.871333333,0.808,0.456,0.936
17079,16.4,0.88,0.868,0.484,1
17080,16.96,0.879333333,0.858,0.442,0.986
17081,17.01,0.878666667,0.894,0.458,1.008
17082,15.14,0.85,0.878,0.644,1.022
17083,15.22,0.852666667,0.852,0.676,0.948
17084,14.33,0.88,0.806,0.806,0.922
17085,14.8,0.877333333,0.866,0.722,0.97
17086,15.17,0.846,0.864,0.688,0.982
17087,15.11,0.891333333,0.802,0.718,0.896
17088,15.18,0.88,0.854,0.702,0.956
17089,15.07,0.872666667,0.898,0.676,1.022
17090,14.72,0.862666667,0.876,0.692,0.976
17091,15.34,0.898,0.794,0.688,0.898
17092,14.81,0.892,0.844,0.674,0.928
17093,14.48,0.887333333,0.88,0.682,0.978
17094,14.17,0.885333333,0.882,0.724,0.966
17095,14.24,0.902,0.806,0.74,0.91
17096,14.21,0.902,0.86,0.662,0.944
17097,14,0.897333333,0.878,0.684,0.974
17098,14.33,0.898,0.88,0.71,0.946
17099,10.13,2.431333333,2.874,1.076,1.142
17100,10.08,2.228,2.462,0.762,1.078
17101,10.07,2.125333333,2.324,0.674,1.094
17102,10.14,2.324666667,2.614,0.78,1.09
17103,10.03,2.342666667,2.43,0.846,1.042
17104,10.01,2.367333333,2.392,0.828,1.044
17105,10.12,2.411333333,2.732,0.87,1.098
17106,10.37,2.464666667,2.766,1.202,1.11
17107,10.36,2.404,2.676,0.96,1.07
17108,10.47,2.296,2.446,0.942,1.072
17109,10.58,2.404666667,2.772,1.056,1.112
17110,10.96,2.475333333,2.808,1.462,1.118
17111,10.91,2.290666667,2.504,1.06,1.066
17112,11.26,2.192,2.22,1.028,1.048
17113,10.91,2.360666667,2.648,1.032,1.096
17114,10.96,2.404,2.662,1.476,1.098
17115,10.85,2.207333333,2.414,1.092,1.078
17116,7.54,0.807333333,0.79,0.418,0.964
17117,7.51,0.805333333,0.788,0.416,0.952
17118,7.45,0.776666667,0.754,0.408,0.946
17119,7.36,0.808666667,0.776,0.408,0.964
17120,7.18,0.81,0.81,0.42,0.99
17121,7.39,0.778,0.768,0.414,0.968
17122,7.24,0.806666667,0.79,0.416,0.968
17123,7.37,0.800666667,0.808,0.416,1.004
17124,7.43,0.803333333,0.806,0.418,0.988
17125,7.42,0.774666667,0.77,0.408,0.974
17126,7.23,0.809333333,0.784,0.416,0.962
17127,7.36,0.812666667,0.79,0.414,0.966
17128,7.35,0.814,0.788,0.42,0.94
17129,7.47,0.77,0.75,0.412,0.956
17130,7.28,0.802666667,0.78,0.412,0.96
17131,7.45,0.799333333,0.786,0.416,0.98
17132,7.4,0.796,0.798,0.42,0.984
17133,16.06,1.429333333,1.446,0.766,1.026
17134,16.25,1.428,1.388,0.644,0.966
17135,15.97,1.384,1.306,0.616,0.966
17136,16.21,1.440666667,1.412,0.598,0.994
17137,16.25,1.416,1.422,0.63,0.984
17138,16.22,1.389333333,1.276,0.566,0.938
17139,16.25,1.437333333,1.384,0.604,0.976
17140,16.36,1.445333333,1.492,0.758,1.034
17141,16.34,1.445333333,1.44,0.686,0.978
17142,16.51,1.44,1.338,0.644,0.96
17143,17.39,1.496,1.466,0.614,0.988
17144,17.07,1.498,1.552,0.744,1.042
17145,16.6,1.454,1.46,0.686,0.984
17146,17.22,1.470666667,1.366,0.646,0.966
17147,17.33,1.527333333,1.538,0.598,1.024
17148,17.33,1.494,1.574,0.79,1.07
17149,17.76,1.45,1.478,0.624,1.018
17150,24.81,0.59,0.586,0.402,0.596
17151,25.26,1.215333333,1.292,0.404,1.012
17152,25.17,1.162,1.156,0.406,0.988
17153,25.68,0.58,0.602,0.406,0.624
17154,26.21,0.572666667,0.536,0.406,0.562
17155,26.01,0.61,0.584,0.406,0.576
17156,24.98,0.582666667,0.566,0.406,0.584
17157,26.12,0.56,0.558,0.402,0.6
17158,26.93,1.257333333,1.348,0.404,1.026
17159,27.05,0.610666667,0.614,0.406,0.606
17160,24.87,0.6,0.604,0.406,0.606
17161,24.83,0.591333333,0.606,0.402,0.612
17162,26.46,0.625333333,0.566,0.404,0.546
17163,28.06,1.248666667,1.242,0.406,0.992
17164,28.15,1.327333333,1.324,0.406,0.99
17165,27.58,0.582,0.612,0.402,0.63
17166,25.93,1.342,1.404,0.404,1.004
17167,11.5,1.048,1.032,0.602,1.002
17168,11.6,1.048666667,1.034,0.524,1.002
17169,11.5,1.054666667,0.966,0.514,0.952
17170,11.91,1.06,1.026,0.51,0.994
17171,11.87,1.05,1.036,0.51,1.008
17172,11.96,1.032,0.944,0.516,0.94
17173,11.51,0.998,0.996,0.464,1.028
17174,11.41,1.028,1.052,0.622,1.05
17175,11.6,1.026,1.044,0.504,1.042
17176,11.72,1.03,0.958,0.538,0.962
17177,11.51,1.014,0.972,0.506,0.994
17178,11.41,0.997333333,1.004,0.534,1.036
17179,11.29,0.996,0.978,0.54,1.01
17180,11.14,0.993333333,0.908,0.55,0.95
17181,11.15,0.986666667,0.954,0.508,1.004
17182,11.56,0.984666667,0.97,0.534,1.01
17183,11.78,0.998,0.98,0.544,0.998
17184,24.8,1.59,1.678,0.912,1.074
17185,25.33,1.598666667,1.636,0.762,1.02
17186,25.24,1.548,1.514,0.52,1
17187,25.19,1.638666667,1.61,0.42,1.02
17188,27.59,1.541333333,1.522,0.662,0.974
17189,29.26,1.543333333,1.516,0.682,0.988
17190,27.05,1.557333333,1.578,0.566,1.03
17191,26.5,1.53,1.672,0.844,1.098
17192,26.4,1.551333333,1.61,0.794,1.01
17193,26.75,1.539333333,1.502,0.654,0.994
17194,26.58,1.590666667,1.602,0.72,1.032
17195,25.93,1.554,1.75,0.892,1.114
17196,25.81,1.556666667,1.602,0.69,1.02
17197,25.92,1.486666667,1.548,0.512,1.044
17198,25.83,1.566,1.582,0.416,1.046
17199,26.72,1.469333333,1.672,0.854,1.122
17200,26.71,1.428,1.534,0.624,1.04
17201,3.15,0.832666667,0.83,0.546,0.996
17202,3.16,0.829333333,0.86,0.432,1.058
17203,3.15,0.819333333,0.812,0.45,0.978
17204,3.18,0.825333333,0.826,0.428,1.002
17205,3.12,0.824,0.846,0.446,1.044
17206,3.11,0.81,0.798,0.434,0.98
17207,3.07,0.818666667,0.826,0.424,1.02
17208,3.05,0.818,0.814,0.552,0.998
17209,3.05,0.812666667,0.858,0.436,1.092
17210,3.06,0.818666667,0.818,0.434,1
17211,3.05,0.824666667,0.838,0.426,1.028
17212,3.04,0.826,0.826,0.55,1.002
17213,3.03,0.821333333,0.852,0.436,1.06
17214,3.03,0.814,0.804,0.438,0.982
17215,3.03,0.820666667,0.828,0.434,1.018
17216,3.05,0.823333333,0.818,0.532,1
17217,3.04,0.821333333,0.842,0.434,1.04
17218,5.12,0.832,0.846,0.5,0.996
17219,5.47,0.831333333,0.846,0.47,0.98
17220,5.43,0.782666667,0.744,0.47,0.92
17221,5.37,0.834666667,0.824,0.466,0.966
17222,5.45,0.836,0.856,0.484,0.974
17223,5.52,0.780666667,0.732,0.6,0.906
17224,5.32,0.808666667,0.806,0.44,0.984
17225,5.36,0.802,0.81,0.478,1.01
17226,5.37,0.804,0.846,0.458,1.008
17227,5.31,0.790666667,0.728,0.498,0.916
17228,5.61,0.803333333,0.81,0.448,0.986
17229,5.76,0.800666667,0.82,0.5,1.012
17230,5.69,0.804666667,0.842,0.478,0.982
17231,5.55,0.745333333,0.748,0.458,0.978
17232,5.48,0.792666667,0.774,0.438,0.962
17233,5.6,0.801333333,0.822,0.498,1.02
17234,5.68,0.806,0.834,0.464,0.99
17235,15.25,1.289333333,1.372,1.83,1.076
17236,15.08,1.281333333,1.288,1.054,0.992
17237,14.83,1.318666667,1.288,1.018,0.994
17238,15.82,1.300666667,1.294,0.864,0.99
17239,15.89,1.267333333,1.26,0.988,0.964
17240,16.15,1.332666667,1.286,0.672,0.99
17241,15.65,1.288666667,1.31,0.658,1.02
17242,16.01,1.260666667,1.342,1.758,1.062
17243,15.96,1.264,1.322,1.086,1.024
17244,16.35,1.296666667,1.292,0.85,1.024
17245,16.23,1.288666667,1.352,0.828,1.058
17246,16.11,1.306666667,1.368,1.912,1.056
17247,15.56,1.312666667,1.314,1.128,1.002
17248,15.16,1.326666667,1.284,0.938,1.026
17249,14.76,1.296,1.348,0.77,1.042
17250,14.77,1.281333333,1.356,1.85,1.06
17251,15.04,1.290666667,1.34,1.014,1.038
17252,4.35,1.187333333,0.984,0.572,0.834
17253,4.48,1.152,0.96,0.466,0.856
17254,4.48,1.07,0.968,0.454,0.87
17255,4.5,1.042,0.946,0.436,0.87
17256,4.5,1.021333333,0.902,0.452,0.864
17257,4.5,0.965333333,0.864,0.43,0.868
17258,4.4,1.016,0.882,0.442,0.84
17259,4.35,1.004,0.896,0.55,0.866
17260,4.41,1.002,0.908,0.472,0.882
17261,4.37,0.982666667,0.868,0.468,0.868
17262,4.28,1.002,0.858,0.444,0.82
17263,4.33,0.990666667,0.874,0.552,0.856
17264,4.25,0.986666667,0.87,0.446,0.86
17265,4.26,0.978666667,0.842,0.448,0.85
17266,4.24,1.044666667,0.934,0.444,0.872
17267,4.31,1.017333333,0.878,0.552,0.854
17268,4.41,1.000666667,0.908,0.466,0.894
17269,23.85,1.312666667,1.394,0.928,1.048
17270,24.14,1.338666667,1.362,0.536,0.978
17271,24.07,1.336,1.332,0.488,0.998
17272,25.72,1.376666667,1.434,0.54,1.026
17273,25.07,1.364,1.4,0.568,0.986
17274,25.49,1.368666667,1.406,0.538,1.02
17275,24.72,1.39,1.452,0.516,1.03
17276,24.62,1.350666667,1.46,1.056,1.072
17277,25.92,1.350666667,1.486,0.658,1.03
17278,25.63,1.345333333,1.454,0.586,1.09
17279,25.42,1.368,1.526,0.522,1.09
17280,24.66,1.398,1.66,1.076,1.152
17281,24.59,1.417333333,1.554,0.638,1.046
17282,23.54,1.384666667,1.474,0.774,1.064
17283,22.77,1.407333333,1.514,0.622,1.086
17284,21.98,1.384666667,1.61,1.014,1.122
17285,22.59,1.37,1.506,0.644,1.062
17286,13.78,0.967333333,1.138,0.504,1.186
17287,13.62,0.972,1.124,0.456,1.136
17288,13.37,0.941333333,1.076,0.562,1.15
17289,13.84,0.988,1.148,0.442,1.176
17290,13.88,0.994,1.158,0.452,1.142
17291,14.21,0.948666667,1.06,0.476,1.112
17292,14.07,0.987333333,1.134,0.458,1.154
17293,13.83,0.988666667,1.192,0.512,1.212
17294,13.97,1.006666667,1.182,0.462,1.136
17295,14.3,0.978,1.094,0.51,1.104
17296,14.63,1.02,1.188,0.474,1.154
17297,14.78,1.010666667,1.196,0.514,1.196
17298,14.64,1,1.154,0.478,1.134
17299,14.51,0.958666667,1.012,0.482,1.046
17300,14.21,0.974666667,1.114,0.454,1.154
17301,14.88,0.969333333,1.116,0.504,1.166
17302,14.85,0.980666667,1.124,0.48,1.142
17303,12.62,1.096666667,1.22,0.484,1.082
17304,12.83,1.107333333,1.198,0.458,1.02
17305,12.74,1.08,1.126,0.48,1.002
17306,12.56,1.096,1.138,0.46,1.016
17307,11.72,1.062666667,1.182,0.462,1.054
17308,11.66,1.029333333,1.104,0.464,1.026
17309,11.75,1.101333333,1.18,0.488,1.054
17310,12.77,1.064,1.158,0.476,1.058
17311,12.65,1.056666667,1.126,0.462,1.022
17312,12.77,1.031333333,1.066,0.464,0.994
17313,12.25,1.094666667,1.082,0.466,0.988
17314,12.56,1.112,1.198,0.496,1.062
17315,12.72,1.11,1.176,0.456,1.01
17316,12.62,1.060666667,1.09,0.482,1.006
17317,12.75,1.114,1.138,0.476,1.022
17318,12.49,1.112,1.266,0.504,1.136
17319,12.33,1.126,1.218,0.46,1.042
17320,9.06,0.779333333,0.854,0.58,1.134
17321,9.15,0.786666667,0.852,0.492,1.102
17322,8.98,0.783333333,0.804,0.468,1.05
17323,9.12,0.784,0.846,0.448,1.12
17324,8.75,0.778,0.86,0.482,1.142
17325,8.9,0.760666667,0.78,0.462,1.054
17326,8.57,0.762666667,0.814,0.428,1.112
17327,8.49,0.762,0.85,0.58,1.176
17328,8.49,0.771333333,0.85,0.486,1.136
17329,8.43,0.776,0.786,0.458,1.036
17330,8.7,0.783333333,0.824,0.462,1.086
17331,8.42,0.788666667,0.846,0.588,1.112
17332,8.36,0.797333333,0.858,0.49,1.106
17333,8.41,0.774,0.798,0.456,1.052
17334,8.39,0.788666667,0.828,0.46,1.084
17335,9.1,0.806,0.872,0.59,1.124
17336,9.19,0.808,0.876,0.482,1.11
17337,13.22,0.983333333,1.01,0.79,1.05
17338,13.74,0.982666667,1.008,0.586,0.998
17339,13.62,0.944,0.936,0.532,0.996
17340,14.03,0.965333333,0.984,0.44,1.01
17341,13.94,0.924666667,1.004,0.568,1.046
17342,13.84,0.979333333,0.952,0.52,1.006
17343,13.97,0.959333333,0.998,0.508,1.034
17344,13.5,0.953333333,1.014,0.802,1.078
17345,13.62,0.958,1.034,0.564,1.03
17346,13.52,0.913333333,0.904,0.456,1.004
17347,13.29,0.921333333,0.964,0.456,1.03
17348,13.09,0.904,0.95,0.742,1.072
17349,12.83,0.904,0.968,0.554,1.032
17350,12.88,0.883333333,0.898,0.498,1.018
17351,12.95,0.898666667,0.886,0.496,1
17352,12.85,0.902,0.952,0.742,1.076
17353,12.9,0.902666667,0.952,0.548,1.048
17354,22.95,1.106,1.168,0.45,1.08
17355,23.29,1.118,1.112,0.518,1.01
17356,22.58,1.112,1.046,0.512,0.99
17357,24.35,1.128666667,1.102,0.49,0.99
17358,25.07,1.085333333,1.068,0.492,0.958
17359,24.73,1.132666667,1.06,0.526,0.932
17360,24.15,1.13,1.1,0.566,0.966
17361,24.07,1.122,1.202,0.466,1.068
17362,24.83,1.138666667,1.152,0.512,1.02
17363,25.01,1.183333333,1.134,0.502,0.97
17364,24.65,1.144,1.15,0.472,0.988
17365,24.71,1.170666667,1.23,0.488,1.03
17366,24.68,1.168,1.134,0.484,0.97
17367,24.46,1.164,1.102,0.51,0.976
17368,24.75,1.134666667,1.16,0.566,1.004
17369,24.26,1.149333333,1.188,0.444,1.038
17370,24.24,1.155333333,1.156,0.448,0.998
17371,25.47,1.293333333,1.294,0.856,0.986
17372,25.11,1.308666667,1.362,0.6,0.968
17373,24.57,1.302666667,1.194,0.58,0.93
17374,25.55,1.302,1.286,0.49,0.976
17375,25.72,1.312,1.358,0.916,0.952
17376,25.7,1.316666667,1.248,0.572,0.936
17377,25.85,1.370666667,1.326,0.494,0.98
17378,25.76,1.377333333,1.418,0.904,1.008
17379,27.11,1.375333333,1.408,0.644,0.954
17380,27.33,1.312,1.212,0.542,0.948
17381,27.83,1.355333333,1.34,0.95,0.994
17382,28.82,1.378666667,1.468,0.702,1.058
17383,28.97,1.35,1.362,0.632,0.974
17384,28.15,1.3,1.226,0.588,0.972
17385,28.03,1.378666667,1.348,0.716,0.978
17386,27.58,1.386,1.446,0.738,1.064
17387,28.64,1.375333333,1.398,0.664,0.97
17388,16.67,1.13,1.166,0.798,0.998
17389,16.59,1.146,1.158,0.77,0.976
17390,15.83,1.097333333,1.054,0.616,0.948
17391,16.37,1.149333333,1.132,0.514,0.99
17392,16.35,1.104,1.134,0.682,0.98
17393,16.71,1.100666667,1.048,0.604,0.946
17394,15.8,1.132,1.146,0.588,1.004
17395,15.84,1.124,1.208,0.8,1.042
17396,16.64,1.119333333,1.1,0.804,0.956
17397,16.7,1.084,1.022,0.71,0.952
17398,16.41,1.133333333,1.164,0.556,1.01
17399,16.83,1.136666667,1.176,0.816,1.022
17400,16.11,1.134,1.12,0.772,0.946
17401,16.03,1.082,1.062,0.794,0.978
17402,16.02,1.131333333,1.098,0.63,0.96
17403,16.32,1.124,1.166,0.77,1.032
17404,16.31,1.125333333,1.118,0.71,0.954
17405,17.15,1.264666667,1.304,0.76,1.016
17406,17.83,1.251333333,1.34,0.972,0.992
17407,17.77,1.319333333,1.162,1.356,0.974
